Demodulated Signal 1,Demodulated Signal 2,Demodulated Signal 3,Interferometric Phase,PTI Signal,Response Phase 1,Response Phase 2,Response Phase 3,Root Mean Square 1,Root Mean Square 2,Root Mean Square 3
-3.0867e-06,-1.32239e-06,4.40909e-06,-0.807803,-3.21539e-06,-0.578766,-0.786715,2.50297,3.30164e-06,1.33841e-06,4.61949e-06
-2.11188e-06,-4.20436e-07,2.53231e-06,-0.794467,-1.83889e-06,-1.59443,-2.09523,1.40846,2.65857e-06,1.03768e-06,3.60343e-06
1.12607e-06,7.05071e-07,-1.83114e-06,-0.775521,1.32215e-06,2.04854,1.71775,-1.22884,1.13911e-06,7.95831e-07,1.90937e-06
-2.22536e-06,-1.29325e-06,3.51861e-06,-0.75401,-2.52534e-06,-1.01386,-1.12005,2.08838,2.23118e-06,1.31412e-06,3.54064e-06
-2.3565e-06,-4.40908e-07,2.7974e-06,-0.73362,-1.99724e-06,-0.864659,-1.50673,2.165,2.36349e-06,5.22085e-07,2.79912e-06
-5.53776e-07,-7.04797e-08,6.24257e-07,-0.716879,-4.43929e-07,0.0063411,0.54793,-2.87685,9.49283e-07,8.68148e-07,1.75134e-06
-2.40395e-06,-1.92986e-06,4.33381e-06,-0.705762,-3.0743e-06,-0.767994,-0.962506,2.28773,2.44063e-06,1.93028e-06,4.35054e-06
-5.55333e-07,3.00566e-07,2.54771e-07,-0.702282,-1.80592e-07,-1.9693,-3.10462,0.813498,1.0746e-06,5.38441e-07,1.39027e-06
-2.23836e-06,-1.39159e-06,3.62994e-06,-0.705401,-2.5748e-06,-0.60728,-0.45286,2.59597,2.36955e-06,1.5761e-06,3.93437e-06
-2.25708e-06,-1.48186e-06,3.73893e-06,-0.709612,-2.65455e-06,-0.959637,-1.15178,2.10484,2.25744e-06,1.5152e-06,3.75592e-06
-1.09907e-06,-2.57798e-07,1.35687e-06,-0.710258,-9.63478e-07,-0.997484,-2.0852,1.76664,1.10079e-06,6.22232e-07,1.49507e-06
-3.859e-07,-2.53198e-08,4.1122e-07,-0.706627,-2.91765e-07,-0.121734,0.574323,-2.95201,5.65567e-07,4.61593e-07,9.66229e-07
-1.86511e-06,-1.77751e-06,3.64263e-06,-0.701573,-2.58167e-06,-0.950306,-1.06607,2.13458,1.86518e-06,1.79137e-06,3.65044e-06
-5.62528e-07,-7.93062e-08,6.41835e-07,-0.696229,-4.54385e-07,-0.839582,-2.3668,1.5546,5.65468e-07,5.46648e-07,8.03437e-07
