Heating,Detector 1,Detector 2,Detector 3,
3.11844,0.474319,0.029726,0.367053,
3.12369,0.494322,0.0369136,0.340181,
3.12894,0.51245,0.0441013,0.311746,
3.13418,0.531203,0.053164,0.283937,
3.13943,0.546205,0.0625391,0.258002,
3.14468,0.561207,0.0719143,0.232692,
3.14993,0.574021,0.0825395,0.208007,
3.15517,0.585273,0.0928522,0.185197,
3.16042,0.595587,0.104415,0.163012,
3.16567,0.602775,0.115665,0.143014,
3.17091,0.609964,0.126915,0.125203,
3.17616,0.613402,0.139416,0.107393,
3.18141,0.616527,0.150666,0.0930192,
3.18666,0.617152,0.162541,0.0786457,
3.1919,0.61684,0.174729,0.0670844,
3.19715,0.614652,0.187229,0.0570855,
3.2024,0.610589,0.199417,0.0495862,
3.20765,0.604338,0.210979,0.0433369,
3.21289,0.596837,0.222855,0.0398998,
3.21814,0.587773,0.234417,0.0377125,
3.22339,0.577147,0.24473,0.038025,
3.22864,0.56527,0.25473,0.0405247,
3.23388,0.552143,0.264105,0.0448992,
3.23913,0.538391,0.273168,0.0511486,
3.24438,0.524014,0.281293,0.0586478,
3.24963,0.507137,0.288793,0.0686467,
3.25487,0.489322,0.295356,0.0805205,
3.26012,0.472757,0.300981,0.0936441,
3.26537,0.453379,0.305981,0.108643,
3.27061,0.434314,0.310669,0.125203,
3.27586,0.414936,0.313794,0.142077,
3.28111,0.395558,0.315669,0.161137,
3.28636,0.375243,0.317544,0.181447,
3.2916,0.355553,0.316919,0.203008,
3.29685,0.335862,0.316919,0.224568,
3.3021,0.316172,0.314731,0.247378,
3.30735,0.296794,0.312544,0.27175,
3.31259,0.277417,0.308481,0.29581,
3.31784,0.258664,0.304106,0.320495,
3.32309,0.240849,0.298794,0.34518,
3.32834,0.223346,0.292544,0.37049,
3.33358,0.206469,0.285356,0.3958,
3.33883,0.190842,0.277543,0.42111,
3.34408,0.175527,0.268793,0.446107,
3.34933,0.161463,0.259418,0.470479,
3.35457,0.148336,0.249105,0.494852,
3.35982,0.135834,0.238167,0.519224,
3.36507,0.124895,0.226605,0.542347,
3.37031,0.115206,0.215667,0.563907,
3.37556,0.106767,0.203792,0.584842,
3.38081,0.099579,0.191292,0.60484,
3.38606,0.0948908,0.179729,0.623276,
3.3913,0.0898901,0.167541,0.639524,
3.39655,0.0877023,0.154728,0.655148,
3.4018,0.0861396,0.141916,0.668896,
3.40705,0.0867647,0.129415,0.681707,
3.41229,0.0886399,0.116915,0.691706,
3.41754,0.0923905,0.105665,0.69983,
3.42279,0.0970786,0.0941022,0.705455,
3.42804,0.103642,0.0831645,0.710142,
3.43328,0.112081,0.0722268,0.711392,
3.43853,0.12177,0.0625391,0.711392,
3.44378,0.132396,0.053789,0.708579,
3.44903,0.144273,0.0447263,0.703268,
3.45427,0.158337,0.0369136,0.696706,
3.45952,0.173652,0.0300385,0.688582,
3.46477,0.189592,0.0241009,0.67702,
3.47001,0.207094,0.0184758,0.663897,
3.47526,0.224597,0.0141007,0.649211,
3.48051,0.243662,0.0103506,0.633275,
3.48576,0.262414,0.00753809,0.614839,
3.491,0.28273,0.00628806,0.596091,
3.49625,0.303045,0.00472553,0.574219,
3.5015,0.323673,0.00472553,0.553908,
3.50675,0.345239,0.00535055,0.529848,
3.51199,0.366804,0.00628806,0.505163,
3.51724,0.38712,0.00910062,0.480478,
3.52249,0.408685,0.0125382,0.453919,
3.52774,0.430251,0.0172258,0.427047,
3.53298,0.450254,0.0219134,0.400799,
3.53823,0.470881,0.0281635,0.373302,
3.54348,0.489009,0.0347261,0.34643,
3.54873,0.507449,0.0419137,0.31987,
3.55397,0.524014,0.0503514,0.293936,
3.55922,0.540266,0.0587891,0.267376,
3.56447,0.554018,0.0678517,0.242691,
3.56972,0.568083,0.0778519,0.218943,
3.57496,0.579959,0.0881646,0.195821,
3.58021,0.589961,0.0981648,0.173948,
3.58546,0.598712,0.109103,0.153638,
3.5907,0.605588,0.120665,0.13489,
3.59595,0.610589,0.13129,0.117704,
3.6012,0.614339,0.142541,0.102081,
3.60645,0.61684,0.154416,0.0877072,
3.61169,0.61684,0.165979,0.075521,
3.61694,0.616527,0.177229,0.0648971,
3.62219,0.613714,0.188792,0.0561481,
3.62744,0.610276,0.200042,0.0489613,
3.63268,0.60465,0.210354,0.0430244,
3.63793,0.597462,0.22098,0.0402122,
3.64318,0.589648,0.23098,0.0377125,
3.64843,0.580897,0.241605,0.0377125,
3.65367,0.569958,0.250355,0.0386499,
3.65892,0.557769,0.259418,0.042712,
3.66417,0.545892,0.268481,0.0477114,
3.66942,0.531828,0.275668,0.0536483,
3.67466,0.517451,0.283793,0.06146,
3.67991,0.502136,0.290669,0.0717714,
3.68516,0.486509,0.296294,0.0830202,
3.6904,0.469319,0.302231,0.0958314,
3.69565,0.451816,0.306294,0.109267,
3.7009,0.433689,0.310044,0.125516,
3.70615,0.415874,0.313481,0.141452,
3.71139,0.397434,0.315356,0.158325,
3.71664,0.379619,0.316607,0.176448,
3.72189,0.361178,0.317544,0.196133,
3.72714,0.342738,0.317232,0.216444,
3.73238,0.323673,0.315356,0.238629,
3.73763,0.305858,0.313169,0.260189,
3.74288,0.287731,0.310356,0.282374,
3.74813,0.269603,0.306919,0.305497,
3.75337,0.252413,0.302544,0.328932,
3.75862,0.236161,0.297231,0.352054,
3.76387,0.219908,0.290669,0.376114,
3.76912,0.204906,0.284418,0.3983,
3.77436,0.189904,0.276918,0.422672,
3.77961,0.17709,0.268793,0.44392,
3.78486,0.163963,0.260668,0.465792,
3.7901,0.152086,0.252543,0.487665,
3.79535,0.141147,0.242543,0.508288,
3.8006,0.130521,0.23348,0.529223,
3.80585,0.121457,0.22348,0.549221,
3.81109,0.113018,0.213167,0.568594,
3.81634,0.106142,0.202229,0.587342,
3.82159,0.0998915,0.190979,0.605153,
3.82684,0.0948908,0.180666,0.621089,
3.83208,0.0911403,0.169416,0.634837,
3.83733,0.0883274,0.159103,0.649211,
3.84258,0.0867647,0.148478,0.661084,
3.84783,0.0861396,0.138478,0.672333,
3.85307,0.0861396,0.127853,0.682645,
3.85832,0.0883274,0.117853,0.690769,
3.86357,0.0911403,0.10754,0.697643,
