i;DC1;DC2;DC3;X1;Y1;X2;Y2;X3;Y3
238;0.01675952;0.8641751;0.8131006;-2.04307E-08;-2.43185E-08;-6.91174E-07;-9.2933E-07;-1.09855E-06;5.06853E-07
239;0.01677718;0.865832;0.8115004;-4.33793E-08;-1.00037E-08;-8.17618E-07;-9.14824E-07;-1.21652E-06;5.76676E-07
240;0.01680293;0.8676886;0.8097105;-2.73908E-08;-2.34071E-08;-6.17074E-07;-1.28815E-06;-1.01956E-06;2.92693E-07
241;0.01683791;0.8697185;0.807766;-3.26622E-08;-2.5476E-08;-6.40207E-07;-1.19385E-06;-0.000001061;3.85443E-07
242;0.01688237;0.8718614;0.8056935;-3.29404E-08;-6.79686E-08;-5.28384E-07;-1.32817E-06;-8.76007E-07;3.08638E-07
243;0.01693708;0.8740651;0.8035554;-2.06618E-08;-8.15923E-08;-5.2827E-07;-1.38339E-06;-8.36855E-07;2.71891E-07
244;0.01700142;0.8762826;0.8013892;-1.11383E-08;-9.82016E-08;-1.05577E-07;-1.18257E-06;-4.83298E-07;2.97317E-07
245;0.01707611;0.8785125;0.7991935;-6.73373E-09;-7.44838E-08;-1.52632E-07;-1.15061E-06;-3.60243E-07;5.58214E-07
246;0.01716404;0.8807665;0.7969678;7.34778E-12;-9.02173E-08;-4.69054E-07;-1.06919E-06;-8.29736E-07;5.46437E-07
247;0.01726527;0.8830357;0.7947283;3.71508E-09;-7.98537E-08;-2.82507E-07;-1.15598E-06;-5.27538E-07;4.45777E-07
248;0.01737902;0.8852928;0.7924756;7.43047E-09;-6.45552E-08;-1.22696E-07;-5.24053E-07;-5.41427E-07;9.7426E-07
249;0.0175047;0.8875503;0.7902147;9.29258E-09;-7.04068E-08;1.33285E-07;-5.9186E-07;-2.94798E-07;8.74018E-07
250;0.01764415;0.8898252;0.7879343;1.21049E-08;-8.09235E-08;1.41485E-07;-4.44631E-07;-2.51585E-07;1.10385E-06
251;0.01780023;0.8921418;0.7855829;2.13086E-08;-8.11649E-08;1.96421E-07;-5.27235E-07;-2.30872E-07;8.42734E-07
252;0.01797547;0.8945286;0.7831478;4.46375E-08;-8.04348E-08;2.32247E-08;-7.21183E-07;-3.79002E-07;8.70897E-07
253;0.0181673;0.8969718;0.78066;4.4243E-08;-6.94814E-08;5.37941E-07;-5.27731E-07;-1.11605E-07;9.54481E-07
254;0.01837301;0.899448;0.7781366;3.68059E-08;-7.01633E-08;2.72958E-07;-7.19605E-07;-2.24924E-07;8.48012E-07
255;0.01859292;0.9019194;0.7756008;5.52551E-08;-7.5695E-08;1.95691E-07;-6.18508E-07;-4.59683E-07;8.22497E-07
256;0.01882308;0.9043515;0.773091;5.48975E-08;-9.36993E-08;4.4946E-07;-8.48506E-07;-1.39745E-07;7.02055E-07
257;0.01906194;0.9067294;0.7706157;4.54316E-08;-1.03464E-07;3.92321E-07;-8.66142E-07;-2.3814E-07;7.33538E-07
258;0.01931001;0.909059;0.7681875;4.82379E-08;-1.28664E-07;8.35283E-07;-1.0761E-06;1.89297E-07;6.57096E-07
259;0.01956909;0.9113467;0.7657867;7.13866E-08;-1.2486E-07;6.82446E-07;-6.64679E-07;-2.93536E-08;9.19585E-07
260;0.01983774;0.9135981;0.7634022;6.15859E-08;-1.29673E-07;4.29811E-07;-9.13858E-07;-2.51115E-07;6.83411E-07
261;0.02011158;0.9157764;0.761083;7.03215E-08;-1.41943E-07;9.599E-08;-8.62939E-07;-6.00675E-07;7.10584E-07
262;0.02038205;0.9178384;0.7588855;5.87205E-08;-1.4437E-07;9.3863E-08;-1.05844E-06;-5.15865E-07;5.64432E-07
263;0.02064545;0.9197735;0.7568069;5.26839E-08;-1.45354E-07;7.5202E-08;-1.0027E-06;-5.03631E-07;6.17035E-07
264;0.02090762;0.9216345;0.7548123;8.35945E-08;-1.47603E-07;3.05683E-07;-1.24744E-06;-4.46644E-07;4.35964E-07
265;0.02116901;0.9234277;0.7528804;7.41893E-08;-1.59972E-07;2.17058E-07;-1.2307E-06;-3.92374E-07;4.24417E-07
266;0.02143064;0.9251661;0.7510014;5.93144E-08;-1.26375E-07;1.35285E-07;-9.94217E-07;-4.09005E-07;5.25213E-07
267;0.02169454;0.9268574;0.7491561;4.91027E-08;-1.19421E-07;1.00812E-07;-7.11319E-07;-3.53405E-07;6.74247E-07
